timestamp,lat,lon,alt,vel,vn,ve,vd,cog
0,47.641468,-122.140165,122.220990,0.000000,0.000000,0.000000,0.009810,0.000000
1000,47.641468,-122.140165,122.220971,0.000000,0.000000,-0.000000,0.019605,343.186456
2000,47.641468,-122.140165,122.220941,0.000000,0.000000,-0.000000,0.029386,355.739191
3000,47.641468,-122.140165,122.220902,0.000000,0.000000,-0.000000,0.039152,329.426797
4000,47.641468,-122.140165,122.220853,0.000000,-0.000000,-0.000000,0.048903,233.451510
5000,47.641468,-122.140165,122.220795,0.000000,-0.000000,-0.000000,0.058639,236.454833
6000,47.641468,-122.140165,122.220726,0.000000,-0.000000,-0.000000,0.068361,243.918517
7000,47.641468,-122.140165,122.220648,0.000000,-0.000000,-0.000000,0.078068,249.603491
8000,47.641468,-122.140165,122.220560,0.000000,-0.000000,-0.000000,0.087761,267.742125
9000,47.641468,-122.140165,122.220463,0.000000,0.000000,-0.000000,0.097439,278.977238
10000,47.641468,-122.140165,122.220356,0.000000,0.000000,-0.000000,0.107102,271.580214
11000,47.641468,-122.140165,122.220239,0.000000,-0.000000,-0.000000,0.116750,267.733545
12000,47.641468,-122.140165,122.220113,0.000000,0.000000,-0.000000,0.126384,270.333556
13000,47.641468,-122.140165,122.219977,0.000000,-0.000000,-0.000000,0.136003,269.859912
14000,47.641468,-122.140165,122.219831,0.000000,-0.000000,-0.000000,0.145608,269.422794
15000,47.641468,-122.140165,122.219676,0.000000,-0.000000,-0.000000,0.155197,243.499869
16000,47.641468,-122.140165,122.219511,0.000000,-0.000000,-0.000000,0.164773,250.618874
17000,47.641468,-122.140165,122.219337,0.000000,-0.000000,-0.000000,0.174333,251.862295
18000,47.641468,-122.140165,122.219153,0.000000,-0.000000,-0.000000,0.183879,252.960585
19000,47.641468,-122.140165,122.218959,0.000000,-0.000000,-0.000000,0.193411,253.927112
20000,47.641468,-122.140165,122.218757,0.000000,-0.000000,-0.000000,0.202927,251.991993
21000,47.641468,-122.140165,122.218544,0.000000,-0.000000,-0.000000,0.212430,257.794584
22000,47.641468,-122.140165,122.218322,0.000000,-0.000000,-0.000000,0.221917,261.461354
23000,47.641468,-122.140165,122.218091,0.000000,0.000000,-0.000000,0.231390,270.045280
24000,47.641468,-122.140165,122.217850,0.000000,-0.000000,-0.000000,0.240848,267.867952
25000,47.641468,-122.140165,122.217600,0.000000,-0.000000,-0.000000,0.250292,267.505510
26000,47.641468,-122.140165,122.217340,0.000000,-0.000000,-0.000000,0.259721,264.077737
27000,47.641468,-122.140165,122.217071,0.000000,-0.000000,-0.000000,0.269136,266.842397
28000,47.641468,-122.140165,122.216792,0.000000,-0.000000,-0.000000,0.278536,267.845871
29000,47.641468,-122.140165,122.216504,0.000000,-0.000000,-0.000000,0.287922,266.380414
30000,47.641468,-122.140165,122.216207,0.000000,-0.000000,-0.000000,0.297293,269.144781
31000,47.641468,-122.140165,122.215900,0.000000,-0.000000,-0.000000,0.306649,267.623576
32000,47.641468,-122.140165,122.215584,0.000000,-0.000000,-0.000000,0.315991,267.235780
33000,47.641468,-122.140165,122.215259,0.000000,-0.000000,-0.000000,0.325318,264.901608
34000,47.641468,-122.140165,122.214924,0.000000,-0.000000,-0.000000,0.334631,266.617767
35000,47.641468,-122.140165,122.214581,0.000000,-0.000000,-0.000000,0.343929,258.540755
36000,47.641468,-122.140165,122.214227,0.000000,-0.000000,-0.000000,0.353213,259.600345
37000,47.641468,-122.140165,122.213865,0.000000,-0.000000,-0.000000,0.362483,261.485827
38000,47.641468,-122.140165,122.213493,0.000000,-0.000000,-0.000000,0.371737,263.789318
39000,47.641468,-122.140165,122.213112,0.000000,-0.000000,-0.000000,0.380978,265.109785
40000,47.641468,-122.140165,122.212722,0.000000,-0.000000,-0.000000,0.390204,263.883826
41000,47.641468,-122.140165,122.212322,0.000000,-0.000000,-0.000000,0.399415,263.682310
42000,47.641468,-122.140165,122.211914,0.000000,-0.000000,-0.000000,0.408612,263.699277
43000,47.641468,-122.140165,122.211496,0.000000,-0.000000,-0.000000,0.417794,264.464262
44000,47.641468,-122.140165,122.211069,0.000000,-0.000000,-0.000000,0.426962,265.301078
45000,47.641468,-122.140165,122.210633,0.000000,-0.000000,-0.000000,0.436116,264.176327
