timestamp,X,Y,Z
0,18348.730367,5021.663072,49516.531886
1000,18348.678367,5021.755355,49516.557323
2000,18348.756827,5021.679758,49516.574170
3000,18348.775246,5021.716419,49516.509785
4000,18348.708060,5021.721429,49516.585079
5000,18348.741406,5021.730508,49516.564765
6000,18348.716291,5021.680241,49516.604145
7000,18348.726389,5021.701842,49516.573536
8000,18348.727032,5021.751579,49516.587285
9000,18348.727175,5021.722549,49516.645002
10000,18348.726845,5021.754577,49516.579658
11000,18348.698297,5021.735843,49516.569934
12000,18348.759520,5021.662485,49516.575489
13000,18348.698876,5021.696087,49516.567213
14000,18348.732177,5021.703502,49516.555784
15000,18348.720192,5021.724873,49516.562373
16000,18348.734182,5021.713061,49516.537574
17000,18348.716235,5021.686043,49516.572409
18000,18348.715836,5021.715789,49516.538971
19000,18348.761151,5021.705336,49516.559074
20000,18348.709951,5021.705595,49516.566201
21000,18348.673078,5021.721770,49516.509278
22000,18348.694469,5021.688588,49516.592467
23000,18348.730859,5021.703660,49516.588107
24000,18348.696527,5021.704346,49516.513292
25000,18348.696287,5021.736960,49516.566603
26000,18348.716563,5021.765261,49516.529370
27000,18348.744851,5021.697645,49516.562828
28000,18348.771143,5021.738265,49516.523365
29000,18348.731256,5021.669484,49516.575408
30000,18348.700170,5021.690278,49516.494484
31000,18348.737482,5021.678905,49516.593515
32000,18348.734163,5021.709832,49516.513772
33000,18348.746858,5021.671919,49516.526651
34000,18348.701898,5021.686547,49516.490802
35000,18348.735378,5021.736090,49516.541634
36000,18348.714178,5021.724878,49516.570026
37000,18348.684348,5021.698005,49516.599989
38000,18348.713420,5021.699575,49516.598858
39000,18348.760608,5021.741392,49516.585879
40000,18348.695755,5021.712049,49516.524351
41000,18348.712770,5021.711399,49516.537033
42000,18348.714211,5021.722982,49516.556325
43000,18348.670996,5021.719892,49516.559202
44000,18348.745705,5021.723560,49516.565046
45000,18348.709745,5021.673933,49516.544654
46000,18348.768183,5021.724040,49516.480744
47000,18348.716989,5021.717094,49516.624577
48000,18348.727441,5021.693834,49516.591105
49000,18348.751597,5021.690176,49516.593888
50000,18348.712650,5021.734312,49516.505041
51000,18348.746467,5021.685587,49516.560416
52000,18348.749056,5021.708321,49516.529803
53000,18348.680785,5021.740996,49516.534439
54000,18348.779076,5021.709704,49516.597366
55000,18348.713363,5021.665626,49516.533191
56000,18348.694336,5021.750025,49516.580800
57000,18348.756483,5021.738036,49516.600001
58000,18348.736538,5021.641778,49516.567444
59000,18348.792340,5021.680978,49516.596040
60000,18348.712603,5021.706195,49516.579276
61000,18348.763365,5021.702439,49516.551949
62000,18348.743488,5021.662358,49516.584505
63000,18348.693286,5021.699708,49516.525277
64000,18348.701787,5021.717559,49516.534397
65000,18348.702710,5021.709001,49516.506976
66000,18348.716086,5021.671659,49516.517350
67000,18348.709451,5021.733559,49516.552792
68000,18348.706617,5021.717045,49516.587341
69000,18348.727818,5021.704842,49516.528898
70000,18348.716957,5021.718344,49516.632389
71000,18348.659277,5021.726318,49516.601690
72000,18348.671029,5021.691367,49516.528276
73000,18348.764006,5021.664359,49516.624916
74000,18348.685040,5021.692848,49516.533613
75000,18348.723142,5021.763402,49516.551432
76000,18348.769868,5021.697134,49516.560084
77000,18348.752706,5021.670799,49516.627540
78000,18348.705529,5021.700926,49516.566490
79000,18348.702261,5021.679086,49516.607174
80000,18348.758964,5021.778427,49516.540278
81000,18348.798036,5021.680286,49516.533966
82000,18348.697013,5021.708401,49516.629988
83000,18348.724790,5021.717155,49516.556296
84000,18348.716020,5021.705932,49516.490136
85000,18348.773285,5021.713165,49516.507813
86000,18348.723405,5021.708107,49516.536693
87000,18348.701689,5021.741226,49516.591999
88000,18348.748441,5021.717517,49516.481345
89000,18348.703134,5021.716994,49516.577302
